Daten des buergeramts
 Name des buergeramts	1
öffnungszeit des buergeramts:	 2.0 3.0
Straße und Hausnummer des buergeramts:	4
Dienstleistungen des buergeramts:	[5]Daten des buergeramts
 Name des buergeramts	12
öffnungszeit des buergeramts:	 232.0 24324.0
Straße und Hausnummer des buergeramts:	32423
Dienstleistungen des buergeramts:	[23423]Daten des buergeramts
 Name des buergeramts	123423
öffnungszeit des buergeramts:	 2.3243534E7 2.4324436E10
Straße und Hausnummer des buergeramts:	32423435345
Dienstleistungen des buergeramts:	[23423435345]
